C,gamma,fitness
64.0,6.103515625e-05,0.648814923979542
64.0,0.0001220703125,0.6766170896219184
64.0,0.000244140625,0.6952790320108143
64.0,0.00048828125,0.7066608484189695
64.0,0.0009765625,0.7223366709868027
64.0,0.001953125,0.7389432389871371
64.0,0.00390625,0.7590958025001046
64.0,0.0078125,0.7676813760330002
64.0,0.015625,0.7633894602617166
64.0,0.03125,0.7682407291274719
64.0,0.0625,0.7714123709185167
64.0,0.125,0.7385666206781221
64.0,0.25,0.5431980503644244
64.0,0.5,0.47564871719832214
64.0,1.0,0.47564871719832214
64.0,2.0,0.47564871719832214
64.0,4.0,0.47564871719832214
64.0,8.0,0.47564871719832214
128.0,3.0517578125e-05,0.648814923979542
128.0,6.103515625e-05,0.6764305224577393
128.0,0.0001220703125,0.6950924648466351
128.0,0.000244140625,0.7047943057820143
128.0,0.00048828125,0.7189775910364146
128.0,0.0009765625,0.7329711735440445
128.0,0.001953125,0.748457641763173
128.0,0.00390625,0.7583502306395195
128.0,0.0078125,0.7609632161322241
128.0,0.015625,0.7652553061025404
128.0,0.03125,0.7682407291274719
128.0,0.0625,0.7714123709185167
128.0,0.125,0.7385666206781221
128.0,0.25,0.5431980503644244
128.0,0.5,0.47564871719832214
128.0,1.0,0.47564871719832214
128.0,2.0,0.47564871719832214
128.0,4.0,0.47564871719832214
128.0,8.0,0.47564871719832214
256.0,3.0517578125e-05,0.6764305224577393
256.0,6.103515625e-05,0.6949058976824561
256.0,0.0001220703125,0.7049808729461935
256.0,0.000244140625,0.7182309739816326
256.0,0.00048828125,0.7279324665189459
256.0,0.0009765625,0.7353956756832087
256.0,0.001953125,0.7506980155246179
256.0,0.00390625,0.7564854299928927
256.0,0.0078125,0.7594696336245941
256.0,0.015625,0.7652553061025404
256.0,0.03125,0.7682407291274719
256.0,0.0625,0.7714123709185167
256.0,0.125,0.7385666206781221
256.0,0.25,0.5431980503644244
256.0,0.5,0.47564871719832214
256.0,1.0,0.47564871719832214
256.0,2.0,0.47564871719832214
256.0,4.0,0.47564871719832214
256.0,8.0,0.47564871719832214
512.0,3.0517578125e-05,0.6945325891550651
512.0,6.103515625e-05,0.7047941315829815
512.0,0.0001220703125,0.7178578396532742
512.0,0.000244140625,0.7253201778223727
512.0,0.00048828125,0.730730451384534
512.0,0.0009765625,0.746965278648773
512.0,0.001953125,0.7523781651964269
512.0,0.00390625,0.7525659517538359
512.0,0.0078125,0.7611489123012389
512.0,0.015625,0.7652553061025404
512.0,0.03125,0.7682407291274719
512.0,0.0625,0.7714123709185167
512.0,0.125,0.7385666206781221
512.0,0.25,0.5431980503644244
512.0,0.5,0.47564871719832214
512.0,1.0,0.47564871719832214
512.0,2.0,0.47564871719832214
512.0,4.0,0.47564871719832214
512.0,8.0,0.47564871719832214
1024.0,3.0517578125e-05,0.7049808729461935
1024.0,6.103515625e-05,0.7165518695040205
1024.0,0.0001220703125,0.7225216703596862
