C,gamma,fitness
1.0,0.00390625,0.6041649785268617
1.0,0.0078125,0.6671098800991031
1.0,0.015625,0.7160919624901474
1.0,0.03125,0.7646296037107154
1.0,0.0625,0.7856862932869738
1.0,0.125,0.7344913358526517
1.0,0.25,0.5409973652741662
1.0,0.5,0.3069539082585027
1.0,1.0,0.30606748139363005
1.0,2.0,0.30606748139363005
1.0,4.0,0.30606748139363005
1.0,8.0,0.30606748139363005
2.0,3.0517578125e-05,0.30606748139363005
2.0,6.103515625e-05,0.30606748139363005
2.0,0.0001220703125,0.30606748139363005
2.0,0.000244140625,0.30850478695061795
2.0,0.00048828125,0.46829980380746117
2.0,0.0009765625,0.5593928098749427
2.0,0.001953125,0.601949893555112
2.0,0.00390625,0.6662227165914063
2.0,0.0078125,0.7116605648086078
2.0,0.015625,0.7726086732326098
2.0,0.03125,0.8151613370558352
2.0,0.0625,0.834219514650598
2.0,0.125,0.7734953456450905
2.0,0.25,0.5735820239507137
2.0,0.5,0.3138250669731101
2.0,1.0,0.30606748139363005
2.0,2.0,0.30606748139363005
2.0,4.0,0.30606748139363005
2.0,8.0,0.30606748139363005
4.0,3.0517578125e-05,0.30606748139363005
4.0,6.103515625e-05,0.30606748139363005
4.0,0.0001220703125,0.3087262708930321
4.0,0.000244140625,0.4705163620648589
4.0,0.00048828125,0.5591718170277444
4.0,0.0009765625,0.6019494024598959
4.0,0.001953125,0.6575784585994455
4.0,0.00390625,0.7070057188037902
4.0,0.0078125,0.760196241648312
4.0,0.015625,0.807403505928747
4.0,0.03125,0.8390931435741418
4.0,0.0625,0.8404227838714509
4.0,0.125,0.7750472065276376
4.0,0.25,0.5735820239507137
4.0,0.5,0.3138250669731101
4.0,1.0,0.30606748139363005
4.0,2.0,0.30606748139363005
4.0,4.0,0.30606748139363005
4.0,8.0,0.30606748139363005
8.0,3.0517578125e-05,0.30606748139363005
8.0,6.103515625e-05,0.3087262708930321
8.0,0.0001220703125,0.47095932994968726
8.0,0.000244140625,0.5593935465177665
8.0,0.00048828125,0.600841246105001
8.0,0.0009765625,0.6529245947850599
8.0,0.001953125,0.7030155701738232
8.0,0.00390625,0.7460114474294849
8.0,0.0078125,0.7905594311153018
8.0,0.015625,0.8255745200158133
8.0,0.03125,0.8437452885552716
8.0,0.0625,0.8428615627140867
8.0,0.125,0.7750472065276376
8.0,0.25,0.5735820239507137
8.0,0.5,0.3138250669731101
8.0,1.0,0.30606748139363005
